target,channel,month,checks_in_slice,rank,item,checks_with_item,attach_rate,attach_rate_ci_low,attach_rate_ci_high
mattress,all,2024-01,7474,1,Одеяло,909,0.1216,0.1144,0.1292
mattress,all,2024-01,7474,2,Детские товары,646,0.0864,0.0803,0.093
mattress,all,2024-01,7474,3,Кровать/каркас,605,0.0809,0.075,0.0873
mattress,all,2024-02,5578,1,Одеяло,979,0.1755,0.1658,0.1857
mattress,all,2024-02,5578,2,Детские товары,717,0.1285,0.12,0.1376
mattress,all,2024-02,5578,3,Наволочка,611,0.1095,0.1016,0.118
mattress,all,2024-03,4454,1,Одеяло,631,0.1417,0.1317,0.1522
mattress,all,2024-03,4454,2,Детские товары,478,0.1073,0.0986,0.1168
mattress,all,2024-03,4454,3,Кровать/каркас,475,0.1066,0.0979,0.1161
mattress,all,2024-04,4731,1,Одеяло,737,0.1558,0.1457,0.1664
mattress,all,2024-04,4731,2,Кровать/каркас,501,0.1059,0.0974,0.115
mattress,all,2024-04,4731,3,Детские товары,472,0.0998,0.0915,0.1086
mattress,all,2024-05,4527,1,Одеяло,758,0.1674,0.1568,0.1786
mattress,all,2024-05,4527,2,Кровать/каркас,527,0.1164,0.1074,0.1261
mattress,all,2024-05,4527,3,Детские товары,439,0.097,0.0887,0.1059
mattress,all,2024-06,4708,1,Одеяло,777,0.165,0.1547,0.1759
mattress,all,2024-06,4708,2,Кровать/каркас,578,0.1228,0.1137,0.1325
mattress,all,2024-06,4708,3,Наволочка,476,0.1011,0.0928,0.11
mattress,all,2024-07,4317,1,Одеяло,756,0.1751,0.1641,0.1867
mattress,all,2024-07,4317,2,Кровать/каркас,620,0.1436,0.1335,0.1544
mattress,all,2024-07,4317,3,Наволочка,443,0.1026,0.0939,0.112
mattress,all,2024-08,3133,1,Одеяло,620,0.1979,0.1843,0.2122
mattress,all,2024-08,3133,2,Кровать/каркас,521,0.1663,0.1537,0.1797
mattress,all,2024-08,3133,3,Наматрасник/топпер,374,0.1194,0.1085,0.1312
mattress,all,2024-09,2572,1,Одеяло,490,0.1905,0.1758,0.2061
mattress,all,2024-09,2572,2,Кровать/каркас,437,0.1699,0.1559,0.1849
mattress,all,2024-09,2572,3,Наматрасник/топпер,320,0.1244,0.1122,0.1377
mattress,all,2024-10,2711,1,Одеяло,537,0.1981,0.1835,0.2135
mattress,all,2024-10,2711,2,Кровать/каркас,476,0.1756,0.1617,0.1904
mattress,all,2024-10,2711,3,Наматрасник/топпер,331,0.1221,0.1103,0.135
mattress,all,2024-11,2908,1,Одеяло,587,0.2019,0.1877,0.2168
mattress,all,2024-11,2908,2,Кровать/каркас,454,0.1561,0.1434,0.1698
mattress,all,2024-11,2908,3,Наматрасник/топпер,416,0.1431,0.1308,0.1563
mattress,all,2024-12,3771,1,Одеяло,652,0.1729,0.1612,0.1853
mattress,all,2024-12,3771,2,Кровать/каркас,545,0.1445,0.1337,0.1561
mattress,all,2024-12,3771,3,Наматрасник/топпер,467,0.1238,0.1137,0.1347
mattress,all,2025-01,2321,1,Одеяло,389,0.1676,0.153,0.1833
mattress,all,2025-01,2321,2,Наматрасник/топпер,363,0.1564,0.1422,0.1717
mattress,all,2025-01,2321,3,Кровать/каркас,357,0.1538,0.1397,0.1691
mattress,all,2025-02,2512,1,Одеяло,457,0.1819,0.1673,0.1975
mattress,all,2025-02,2512,2,Кровать/каркас,374,0.1489,0.1355,0.1633
mattress,all,2025-02,2512,3,Наматрасник/топпер,371,0.1477,0.1344,0.1621
mattress,all,2025-03,2800,1,Одеяло,510,0.1821,0.1683,0.1969
mattress,all,2025-03,2800,2,Кровать/каркас,421,0.1504,0.1376,0.1641
mattress,all,2025-03,2800,3,Наматрасник/топпер,414,0.1479,0.1352,0.1615
mattress,all,2025-04,2703,1,Одеяло,496,0.1835,0.1694,0.1985
mattress,all,2025-04,2703,2,Кровать/каркас,408,0.1509,0.1379,0.1649
mattress,all,2025-04,2703,3,Наматрасник/топпер,374,0.1384,0.1259,0.1519
mattress,all,2025-05,9262,1,Одеяло,1329,0.1435,0.1365,0.1508
mattress,all,2025-05,9262,2,Детские товары,1309,0.1413,0.1344,0.1486
mattress,all,2025-05,9262,3,Косметика/гигиена,1193,0.1288,0.1221,0.1358
mattress,all,2025-06,10052,1,Детские товары,1597,0.1589,0.1519,0.1662
mattress,all,2025-06,10052,2,Одеяло,1453,0.1445,0.1378,0.1516
mattress,all,2025-06,10052,3,Косметика/гигиена,1327,0.132,0.1255,0.1388
mattress,all,2025-07,15549,1,Детские товары,2265,0.1457,0.1402,0.1513
mattress,all,2025-07,15549,2,Косметика/гигиена,2124,0.1366,0.1313,0.1421
mattress,all,2025-07,15549,3,Одеяло,2007,0.1291,0.1239,0.1344
mattress,all,2025-08,13108,1,Одеяло,2076,0.1584,0.1522,0.1647
mattress,all,2025-08,13108,2,Детские товары,1988,0.1517,0.1456,0.1579
mattress,all,2025-08,13108,3,Косметика/гигиена,1806,0.1378,0.132,0.1438
mattress,all,2025-09,10795,1,Одеяло,1671,0.1548,0.1481,0.1617
mattress,all,2025-09,10795,2,Детские товары,1493,0.1383,0.1319,0.1449
mattress,all,2025-09,10795,3,Косметика/гигиена,1332,0.1234,0.1173,0.1297
mattress,all,2025-10,9455,1,Одеяло,1579,0.167,0.1596,0.1747
mattress,all,2025-10,9455,2,Детские товары,1169,0.1236,0.1172,0.1304
mattress,all,2025-10,9455,3,Косметика/гигиена,1084,0.1146,0.1084,0.1212
mattress,all,2025-11,7687,1,Одеяло,1349,0.1755,0.1672,0.1842
mattress,all,2025-11,7687,2,Детские товары,862,0.1121,0.1053,0.1194
mattress,all,2025-11,7687,3,Наволочка,849,0.1104,0.1036,0.1176
mattress,all,2025-12,6394,1,Одеяло,1206,0.1886,0.1792,0.1984
mattress,all,2025-12,6394,2,Кровать/каркас,716,0.112,0.1045,0.1199
mattress,all,2025-12,6394,3,Постельное белье,699,0.1093,0.1019,0.1172
mattress,marketplace,2024-01,6437,1,Одеяло,770,0.1196,0.1119,0.1278
mattress,marketplace,2024-01,6437,2,Детские товары,628,0.0976,0.0906,0.1051
mattress,marketplace,2024-01,6437,3,Наволочка,559,0.0868,0.0802,0.094
mattress,marketplace,2024-02,4722,1,Одеяло,846,0.1792,0.1685,0.1904
mattress,marketplace,2024-02,4722,2,Детские товары,699,0.148,0.1382,0.1584
mattress,marketplace,2024-02,4722,3,Наволочка,588,0.1245,0.1154,0.1342
mattress,marketplace,2024-03,3679,1,Одеяло,527,0.1432,0.1323,0.1549
mattress,marketplace,2024-03,3679,2,Детские товары,465,0.1264,0.116,0.1375
mattress,marketplace,2024-03,3679,3,Наволочка,386,0.1049,0.0954,0.1152
mattress,marketplace,2024-04,3901,1,Одеяло,551,0.1412,0.1307,0.1525
mattress,marketplace,2024-04,3901,2,Детские товары,450,0.1154,0.1057,0.1258
mattress,marketplace,2024-04,3901,3,Наволочка,370,0.0948,0.086,0.1044
mattress,marketplace,2024-05,3767,1,Одеяло,606,0.1609,0.1495,0.1729
mattress,marketplace,2024-05,3767,2,Детские товары,423,0.1123,0.1026,0.1228
mattress,marketplace,2024-05,3767,3,Наволочка,405,0.1075,0.098,0.1178
mattress,marketplace,2024-06,3850,1,Одеяло,622,0.1616,0.1503,0.1735
mattress,marketplace,2024-06,3850,2,Наволочка,446,0.1158,0.1061,0.1263
mattress,marketplace,2024-06,3850,3,Детские товары,415,0.1078,0.0984,0.118
mattress,marketplace,2024-07,3379,1,Одеяло,568,0.1681,0.1559,0.1811
mattress,marketplace,2024-07,3379,2,Наволочка,426,0.1261,0.1153,0.1377
mattress,marketplace,2024-07,3379,3,Детские товары,372,0.1101,0.1,0.1211
mattress,marketplace,2024-08,2061,1,Одеяло,411,0.1994,0.1827,0.2172
mattress,marketplace,2024-08,2061,2,Наволочка,342,0.1659,0.1505,0.1826
mattress,marketplace,2024-08,2061,3,Наматрасник/топпер,260,0.1262,0.1125,0.1412
mattress,marketplace,2024-09,1588,1,Одеяло,285,0.1795,0.1614,0.1991
mattress,marketplace,2024-09,1588,2,Наволочка,245,0.1543,0.1374,0.1729
mattress,marketplace,2024-09,1588,3,Наматрасник/топпер,181,0.114,0.0993,0.1306
mattress,marketplace,2024-10,1740,1,Одеяло,351,0.2017,0.1835,0.2212
mattress,marketplace,2024-10,1740,2,Наволочка,297,0.1707,0.1537,0.1891
mattress,marketplace,2024-10,1740,3,Наматрасник/топпер,202,0.1161,0.1019,0.132
mattress,marketplace,2024-11,1832,1,Одеяло,394,0.2151,0.1969,0.2345
mattress,marketplace,2024-11,1832,2,Наволочка,292,0.1594,0.1433,0.1769
mattress,marketplace,2024-11,1832,3,Наматрасник/топпер,234,0.1277,0.1132,0.1438
mattress,marketplace,2024-12,2290,1,Одеяло,428,0.1869,0.1715,0.2034
mattress,marketplace,2024-12,2290,2,Наволочка,349,0.1524,0.1383,0.1677
mattress,marketplace,2024-12,2290,3,Наматрасник/топпер,273,0.1192,0.1066,0.1331
mattress,marketplace,2025-01,1526,1,Одеяло,262,0.1717,0.1536,0.1914
mattress,marketplace,2025-01,1526,2,Наволочка,225,0.1474,0.1305,0.1661
mattress,marketplace,2025-01,1526,3,Наматрасник/топпер,174,0.114,0.099,0.1309
mattress,marketplace,2025-02,1579,1,Одеяло,322,0.2039,0.1848,0.2245
mattress,marketplace,2025-02,1579,2,Наволочка,239,0.1514,0.1345,0.1699
mattress,marketplace,2025-02,1579,3,Наматрасник/топпер,180,0.114,0.0992,0.1306
mattress,marketplace,2025-03,1897,1,Одеяло,355,0.1871,0.1702,0.2053
mattress,marketplace,2025-03,1897,2,Наволочка,307,0.1618,0.1459,0.1791
mattress,marketplace,2025-03,1897,3,Наматрасник/топпер,207,0.1091,0.0959,0.1239
mattress,marketplace,2025-04,1938,1,Одеяло,363,0.1873,0.1706,0.2053
mattress,marketplace,2025-04,1938,2,Наволочка,277,0.1429,0.1281,0.1592
mattress,marketplace,2025-04,1938,3,Наматрасник/топпер,219,0.113,0.0997,0.1279
mattress,marketplace,2025-05,8598,1,Детские товары,1297,0.1508,0.1434,0.1586
mattress,marketplace,2025-05,8598,2,Косметика/гигиена,1191,0.1385,0.1314,0.146
mattress,marketplace,2025-05,8598,3,Одеяло,1188,0.1382,0.131,0.1456
mattress,marketplace,2025-06,9352,1,Детские товары,1581,0.1691,0.1616,0.1768
mattress,marketplace,2025-06,9352,2,Косметика/гигиена,1320,0.1411,0.1342,0.1484
mattress,marketplace,2025-06,9352,3,Одеяло,1303,0.1393,0.1325,0.1465
mattress,marketplace,2025-07,14829,1,Детские товары,2240,0.1511,0.1454,0.1569
mattress,marketplace,2025-07,14829,2,Косметика/гигиена,2122,0.1431,0.1376,0.1488
mattress,marketplace,2025-07,14829,3,Одеяло,1843,0.1243,0.1191,0.1297
mattress,marketplace,2025-08,12400,1,Детские товары,1968,0.1587,0.1524,0.1652
mattress,marketplace,2025-08,12400,2,Одеяло,1938,0.1563,0.15,0.1628
mattress,marketplace,2025-08,12400,3,Косметика/гигиена,1800,0.1452,0.1391,0.1515
mattress,marketplace,2025-09,10189,1,Одеяло,1549,0.152,0.1452,0.1591
mattress,marketplace,2025-09,10189,2,Детские товары,1488,0.146,0.1393,0.153
mattress,marketplace,2025-09,10189,3,Косметика/гигиена,1325,0.13,0.1237,0.1367
mattress,marketplace,2025-10,8882,1,Одеяло,1473,0.1658,0.1583,0.1737
mattress,marketplace,2025-10,8882,2,Детские товары,1154,0.1299,0.1231,0.1371
mattress,marketplace,2025-10,8882,3,Косметика/гигиена,1079,0.1215,0.1149,0.1284
mattress,marketplace,2025-11,7093,1,Одеяло,1223,0.1724,0.1638,0.1814
mattress,marketplace,2025-11,7093,2,Детские товары,859,0.1211,0.1137,0.1289
mattress,marketplace,2025-11,7093,3,Наволочка,828,0.1167,0.1095,0.1244
mattress,marketplace,2025-12,5691,1,Одеяло,1071,0.1882,0.1782,0.1986
mattress,marketplace,2025-12,5691,2,Постельное белье,648,0.1139,0.1059,0.1224
mattress,marketplace,2025-12,5691,3,Наволочка,635,0.1116,0.1037,0.12
mattress,non_marketplace,2024-01,1037,1,Кровать/каркас,276,0.2662,0.2402,0.2939
mattress,non_marketplace,2024-01,1037,2,Одеяло,139,0.134,0.1146,0.1561
mattress,non_marketplace,2024-01,1037,3,Другая мебель,106,0.1022,0.0852,0.1221
mattress,non_marketplace,2024-02,856,1,Кровать/каркас,210,0.2453,0.2177,0.2752
mattress,non_marketplace,2024-02,856,2,Одеяло,133,0.1554,0.1327,0.1812
mattress,non_marketplace,2024-02,856,3,Другая мебель,115,0.1343,0.1131,0.1588
mattress,non_marketplace,2024-03,775,1,Кровать/каркас,179,0.231,0.2027,0.2619
mattress,non_marketplace,2024-03,775,2,Одеяло,104,0.1342,0.112,0.16
mattress,non_marketplace,2024-03,775,3,Другая мебель,80,0.1032,0.0837,0.1266
mattress,non_marketplace,2024-04,830,1,Кровать/каркас,234,0.2819,0.2524,0.3135
mattress,non_marketplace,2024-04,830,2,Одеяло,186,0.2241,0.197,0.2537
mattress,non_marketplace,2024-04,830,3,Другая мебель,121,0.1458,0.1234,0.1714
mattress,non_marketplace,2024-05,760,1,Кровать/каркас,224,0.2947,0.2634,0.3281
mattress,non_marketplace,2024-05,760,2,Одеяло,152,0.2,0.1731,0.2299
mattress,non_marketplace,2024-05,760,3,Основание/ламели,91,0.1197,0.0985,0.1448
mattress,non_marketplace,2024-06,858,1,Кровать/каркас,257,0.2995,0.2698,0.331
mattress,non_marketplace,2024-06,858,2,Одеяло,155,0.1807,0.1564,0.2078
mattress,non_marketplace,2024-06,858,3,Другая мебель,119,0.1387,0.1172,0.1634
mattress,non_marketplace,2024-07,938,1,Кровать/каркас,280,0.2985,0.2701,0.3286
mattress,non_marketplace,2024-07,938,2,Одеяло,188,0.2004,0.1761,0.2272
mattress,non_marketplace,2024-07,938,3,Другая мебель,124,0.1322,0.112,0.1554
mattress,non_marketplace,2024-08,1072,1,Кровать/каркас,296,0.2761,0.2502,0.3036
mattress,non_marketplace,2024-08,1072,2,Одеяло,209,0.195,0.1724,0.2198
mattress,non_marketplace,2024-08,1072,3,Другая мебель,135,0.1259,0.1074,0.1471
mattress,non_marketplace,2024-09,984,1,Кровать/каркас,279,0.2835,0.2563,0.3125
mattress,non_marketplace,2024-09,984,2,Одеяло,205,0.2083,0.1841,0.2348
mattress,non_marketplace,2024-09,984,3,Основание/ламели,140,0.1423,0.1218,0.1655
mattress,non_marketplace,2024-10,971,1,Кровать/каркас,313,0.3223,0.2937,0.3524
mattress,non_marketplace,2024-10,971,2,Одеяло,186,0.1916,0.168,0.2175
mattress,non_marketplace,2024-10,971,3,Другая мебель,151,0.1555,0.1341,0.1797
mattress,non_marketplace,2024-11,1076,1,Кровать/каркас,304,0.2825,0.2564,0.3102
mattress,non_marketplace,2024-11,1076,2,Другая мебель,210,0.1952,0.1726,0.2199
mattress,non_marketplace,2024-11,1076,3,Одеяло,193,0.1794,0.1576,0.2034
mattress,non_marketplace,2024-12,1481,1,Кровать/каркас,347,0.2343,0.2134,0.2565
mattress,non_marketplace,2024-12,1481,2,Другая мебель,235,0.1587,0.141,0.1782
mattress,non_marketplace,2024-12,1481,3,Одеяло,224,0.1512,0.1339,0.1704
mattress,non_marketplace,2025-01,795,1,Другая мебель,206,0.2591,0.2299,0.2907
mattress,non_marketplace,2025-01,795,2,Кровать/каркас,201,0.2528,0.2239,0.2842
mattress,non_marketplace,2025-01,795,3,Наматрасник/топпер,189,0.2377,0.2094,0.2685
mattress,non_marketplace,2025-02,933,1,Другая мебель,227,0.2433,0.2169,0.2719
mattress,non_marketplace,2025-02,933,2,Кровать/каркас,219,0.2347,0.2087,0.263
mattress,non_marketplace,2025-02,933,3,Наматрасник/топпер,191,0.2047,0.1801,0.2318
mattress,non_marketplace,2025-03,903,1,Другая мебель,254,0.2813,0.2529,0.3115
mattress,non_marketplace,2025-03,903,2,Кровать/каркас,234,0.2591,0.2316,0.2887
mattress,non_marketplace,2025-03,903,3,Наматрасник/топпер,207,0.2292,0.203,0.2578
mattress,non_marketplace,2025-04,765,1,Кровать/каркас,229,0.2993,0.268,0.3327
mattress,non_marketplace,2025-04,765,2,Другая мебель,178,0.2327,0.2041,0.2639
mattress,non_marketplace,2025-04,765,3,Наматрасник/топпер,155,0.2026,0.1756,0.2326
mattress,non_marketplace,2025-05,664,1,Кровать/каркас,224,0.3373,0.3024,0.3742
mattress,non_marketplace,2025-05,664,2,Другая мебель,181,0.2726,0.2401,0.3077
mattress,non_marketplace,2025-05,664,3,Одеяло,141,0.2123,0.1829,0.2451
mattress,non_marketplace,2025-06,700,1,Кровать/каркас,247,0.3529,0.3183,0.389
mattress,non_marketplace,2025-06,700,2,Одеяло,150,0.2143,0.1855,0.2462
mattress,non_marketplace,2025-06,700,3,Другая мебель,149,0.2129,0.1841,0.2447
mattress,non_marketplace,2025-07,720,1,Кровать/каркас,252,0.35,0.316,0.3856
mattress,non_marketplace,2025-07,720,2,Одеяло,164,0.2278,0.1986,0.2598
mattress,non_marketplace,2025-07,720,3,Другая мебель,117,0.1625,0.1374,0.1912
mattress,non_marketplace,2025-08,708,1,Кровать/каркас,231,0.3263,0.2928,0.3617
mattress,non_marketplace,2025-08,708,2,Одеяло,138,0.1949,0.1674,0.2257
mattress,non_marketplace,2025-08,708,3,Другая мебель,114,0.161,0.1358,0.1899
mattress,non_marketplace,2025-09,606,1,Кровать/каркас,193,0.3185,0.2826,0.3566
mattress,non_marketplace,2025-09,606,2,Одеяло,122,0.2013,0.1713,0.2351
mattress,non_marketplace,2025-09,606,3,Основание/ламели,99,0.1634,0.1361,0.1949
mattress,non_marketplace,2025-10,573,1,Кровать/каркас,181,0.3159,0.2792,0.3551
mattress,non_marketplace,2025-10,573,2,Одеяло,106,0.185,0.1553,0.2188
mattress,non_marketplace,2025-10,573,3,Основание/ламели,80,0.1396,0.1136,0.1704
mattress,non_marketplace,2025-11,594,1,Кровать/каркас,195,0.3283,0.2917,0.367
mattress,non_marketplace,2025-11,594,2,Одеяло,126,0.2121,0.1811,0.2468
mattress,non_marketplace,2025-11,594,3,Основание/ламели,90,0.1515,0.1249,0.1826
mattress,non_marketplace,2025-12,703,1,Кровать/каркас,211,0.3001,0.2674,0.335
mattress,non_marketplace,2025-12,703,2,Одеяло,135,0.192,0.1646,0.2228
mattress,non_marketplace,2025-12,703,3,Основание/ламели,106,0.1508,0.1262,0.1791
