target,channel_view,channel,pillow_price_bin,price_bin,checks_in_segment,confidence,segment_reliable,cross_sell_top_2,cross_sell_top_3,cross_sell_support_2,cross_sell_support_3,cross_sell_rate_2,cross_sell_rate_3,cross_sell_2_expected_value,cross_sell_3_expected_value,cross2_best_weekday,cross2_best_hour_bucket,cross2_best_month,cross2_best_opportunity_score,cross3_best_weekday,cross3_best_hour_bucket,cross3_best_month,cross3_best_opportunity_score,upsell_top_2,upsell_top_3,upsell_support_2,upsell_support_3,upsell_rate_2,upsell_rate_3,upsell_avg_sum_2,upsell_avg_sum_3,pillow_size,pillow_type,cross_sell_rate_2_ci_low,cross_sell_rate_2_ci_high,cross_sell_rate_3_ci_low,cross_sell_rate_3_ci_high,upsell_rate_2_ci_low,upsell_rate_2_ci_high,upsell_rate_3_ci_low,upsell_rate_3_ci_high
pillow,all,all,2-3k,2-3k,104472,high,1,Наволочка,Косметика/гигиена,7201,5792,0.0689,0.0554,127.74,48.51,Воскресенье,Ночь (00-05),2025-08,95274.32,Среда,Ночь (00-05),2025-08,88883.32,Другая мебель,Постельное белье,3792,4556,0.0363,0.0436,8031.52,3413.83,50x70,unknown,0.0674,0.0705,0.0541,0.0568,0.0352,0.0374,0.0424,0.0449
pillow,all,all,2-3k,2-3k,1084,medium,1,Косметика/гигиена,Одеяло,43,31,0.0397,0.0286,23.87,70.73,,,,,,,,,Наволочка,Косметика/гигиена,52,43,0.048,0.0397,926.62,601.83,60x60,down,0.0296,0.053,0.0202,0.0403,0.0368,0.0624,0.0296,0.053
pillow,all,all,2-3k,2-3k,26238,high,1,Наволочка,Постельное белье,1636,1272,0.0624,0.0485,106.23,128.61,Понедельник,Вечер (18-23),2025-05,34547.2,Понедельник,Ночь (00-05),2025-08,85665.44,Другая мебель,Постельное белье,659,1272,0.0251,0.0485,3398.44,2652.84,70x70,anatomic,0.0595,0.0653,0.0459,0.0511,0.0233,0.0271,0.0459,0.0511
pillow,all,all,2-3k,2-3k,110026,high,1,Наволочка,Косметика/гигиена,5904,3084,0.0537,0.028,96.82,21.79,Воскресенье,Вечер (18-23),2024-04,75757.41,Вторник,Ночь (00-05),2025-08,41728.36,Постельное белье,Одеяло,2385,6025,0.0217,0.0548,2446.78,2376.16,70x70,down,0.0523,0.055,0.0271,0.029,0.0208,0.0226,0.0534,0.0561
pillow,all,all,2-3k,2-3k,1751,medium,1,Косметика/гигиена,Одеяло,67,53,0.0383,0.0303,25.25,72.23,,,,,,,,,Постельное белье,Наволочка,43,67,0.0246,0.0383,2230.36,1765.5,70x70,memory,0.0302,0.0483,0.0232,0.0394,0.0183,0.0329,0.0302,0.0483
pillow,all,all,2-3k,2-3k,1439,medium,1,Одеяло,Наволочка,74,74,0.0514,0.0514,136.22,77.42,,,,,,,,,Постельное белье,Другая мебель,61,39,0.0424,0.0271,2417.65,1943.95,70x70,orthopedic,0.0412,0.0641,0.0412,0.0641,0.0331,0.0541,0.0199,0.0368
pillow,all,all,2-3k,2-3k,5681,high,1,Наволочка,Косметика/гигиена,356,146,0.0627,0.0257,128.91,19.05,,,2024-02,23383.12,,,,,Другая мебель,Постельное белье,69,101,0.0121,0.0178,2861.24,2741.68,70x70,synthetic,0.0567,0.0693,0.0219,0.0301,0.0096,0.0153,0.0147,0.0216
pillow,all,all,2-3k,2-3k,84504,high,1,Наволочка,Косметика/гигиена,6000,5311,0.071,0.0628,114.49,47.94,Пятница,Вечер (18-23),2025-06,47138.4,Пятница,Ночь (00-05),2025-08,78720.63,Другая мебель,Постельное белье,3148,5311,0.0373,0.0628,3351.81,2570.67,70x70,unknown,0.0693,0.0728,0.0612,0.0645,0.036,0.0386,0.0612,0.0645
pillow,all,all,2-3k,2-3k,18445,high,1,Одеяло,Наволочка,472,468,0.0256,0.0254,60.58,44.31,Воскресенье,День (12-17),2024-04,22855.62,Понедельник,Вечер (18-23),2024-04,15091.07,Другая мебель,Одеяло,195,472,0.0106,0.0256,4341.8,2367.34,unknown,anatomic,0.0234,0.028,0.0232,0.0277,0.0092,0.0122,0.0234,0.028
pillow,all,all,2-3k,2-3k,15207,high,1,Одеяло,Косметика/гигиена,636,430,0.0418,0.0283,132.83,27.31,Воскресенье,Вечер (18-23),2024-09,54112.07,,,2025-08,17282.72,Одеяло,Постельное белье,636,167,0.0418,0.011,3176.01,3083.14,unknown,down,0.0388,0.0451,0.0258,0.031,0.0388,0.0451,0.0094,0.0128
pillow,all,all,2-3k,2-3k,145949,high,1,Наволочка,Детские товары,2989,2801,0.0205,0.0192,32.4,23.6,Среда,Утро (06-11),2024-06,24591.06,Воскресенье,Ночь (00-05),2025-12,61211.62,Одеяло,Наволочка,2187,2989,0.015,0.0205,2396.62,1582.06,unknown,memory,0.0198,0.0212,0.0185,0.0199,0.0144,0.0156,0.0198,0.0212
pillow,all,all,2-3k,2-3k,181254,high,1,Детские товары,Наволочка,4069,3653,0.0224,0.0202,28.28,28.46,Четверг,Ночь (00-05),2025-12,122034.91,Пятница,Ночь (00-05),2025-08,28851.91,Другая мебель,Одеяло,2838,2898,0.0157,0.016,4463.7,2367.73,unknown,orthopedic,0.0218,0.0231,0.0195,0.0208,0.0151,0.0162,0.0154,0.0166
pillow,all,all,2-3k,2-3k,36703,high,1,Детские товары,Одеяло,2497,2380,0.068,0.0648,86.0,188.29,Суббота,Ночь (00-05),2025-08,73145.16,Понедельник,День (12-17),2024-04,50433.53,Матрас,Другая мебель,1692,1621,0.0461,0.0442,19263.53,6458.22,unknown,unknown,0.0655,0.0707,0.0624,0.0674,0.044,0.0483,0.0421,0.0463
pillow,all,all,3-5k,3-5k,599,low,1,Другая мебель,Кухонный текстиль,7,6,0.0117,0.01,79.71,3.08,,,,,,,,,Декор,Постельное белье,1,1,0.0017,0.0017,10615.0,7244.0,40x60,anatomic,0.0057,0.0239,0.0046,0.0217,0.0003,0.0094,0.0003,0.0094
pillow,all,all,3-5k,3-5k,17782,high,1,Косметика/гигиена,Наволочка,476,463,0.0268,0.026,29.01,48.8,Среда,Вечер (18-23),2025-01,2453.43,Вторник,Вечер (18-23),2024-12,18164.85,Другая мебель,Одеяло,193,486,0.0109,0.0273,4893.61,3096.23,40x60,memory,0.0245,0.0292,0.0238,0.0285,0.0094,0.0125,0.025,0.0298
pillow,all,all,3-5k,3-5k,3866,high,1,Наволочка,Одеяло,160,158,0.0414,0.0409,68.25,114.75,,,,,,,,,Другая мебель,Одеяло,73,158,0.0189,0.0409,3927.66,2807.82,40x60,orthopedic,0.0355,0.0481,0.0351,0.0476,0.015,0.0237,0.0351,0.0476
pillow,all,all,3-5k,3-5k,636,low,1,Одеяло,Косметика/гигиена,29,29,0.0456,0.0456,146.04,38.77,,,,,,,,,Детские товары,Наволочка,38,22,0.0597,0.0346,1682.76,1681.88,40x60,unknown,0.0319,0.0647,0.0319,0.0647,0.0438,0.0809,0.023,0.0518
pillow,all,all,3-5k,3-5k,26117,high,1,Наволочка,Косметика/гигиена,2031,1411,0.0778,0.054,202.72,60.38,Воскресенье,День (12-17),2024-10,62910.83,Четверг,Ночь (00-05),2025-08,33525,Постельное белье,Другая мебель,951,699,0.0364,0.0268,4428.27,4307.79,50x70,anatomic,0.0746,0.0811,0.0513,0.0568,0.0342,0.0388,0.0249,0.0288
pillow,all,all,3-5k,3-5k,60677,high,1,Наволочка,Косметика/гигиена,3211,1991,0.0529,0.0328,148.2,35.02,Пятница,Вечер (18-23),2024-08,40261.98,Четверг,Ночь (00-05),2025-08,24357.37,Одеяло,Другая мебель,3882,906,0.064,0.0149,4230.81,3821.44,50x70,down,0.0512,0.0547,0.0314,0.0343,0.0621,0.066,0.014,0.0159
pillow,all,all,3-5k,3-5k,10114,high,1,Одеяло,Косметика/гигиена,543,336,0.0537,0.0332,154.49,32.2,Четверг,Вечер (18-23),2024-10,41594.06,,,,,Другая мебель,Постельное белье,192,161,0.019,0.0159,3807.96,3557.67,50x70,memory,0.0495,0.0583,0.0299,0.0369,0.0165,0.0218,0.0137,0.0185
pillow,all,all,3-5k,3-5k,5440,high,1,Косметика/гигиена,Одеяло,283,273,0.052,0.0502,46.94,138.34,,,2025-08,8973.24,,,,,Другая мебель,Постельное белье,114,139,0.021,0.0256,3294.23,3238.11,50x70,orthopedic,0.0464,0.0582,0.0447,0.0563,0.0175,0.0251,0.0217,0.0301
pillow,all,all,3-5k,3-5k,4231,high,1,Наволочка,Косметика/гигиена,248,133,0.0586,0.0314,165.77,37.14,,,,,,,,,Другая мебель,Одеяло,68,365,0.0161,0.0863,6223.36,4962.21,50x70,synthetic,0.0519,0.0661,0.0266,0.0371,0.0127,0.0203,0.0782,0.0951
pillow,all,all,3-5k,3-5k,76437,high,1,Наволочка,Косметика/гигиена,4357,3797,0.057,0.0497,151.15,52.93,Пятница,Вечер (18-23),2025-08,68928.36,Понедельник,Ночь (00-05),2025-08,82160.64,Другая мебель,Постельное белье,2302,2782,0.0301,0.0364,9298.69,4564.32,50x70,unknown,0.0554,0.0587,0.0482,0.0512,0.0289,0.0314,0.0351,0.0377
pillow,all,all,3-5k,3-5k,385,low,1,Наволочка,Другая мебель,12,8,0.0312,0.0208,35.6,41.36,,,,,,,,,Наматрасник/топпер,Матрас,3,6,0.0078,0.0156,3987.67,3646.5,60x60,down,0.0179,0.0537,0.0106,0.0405,0.0027,0.0227,0.0072,0.0336
pillow,all,all,3-5k,3-5k,11505,high,1,Наволочка,Косметика/гигиена,804,479,0.0699,0.0416,161.48,40.79,Воскресенье,Вечер (18-23),2024-11,20267.44,,,2025-07,14701.39,Другая мебель,Постельное белье,262,470,0.0228,0.0409,3830.67,3171.83,70x70,anatomic,0.0654,0.0747,0.0381,0.0454,0.0202,0.0257,0.0374,0.0446
pillow,all,all,3-5k,3-5k,52307,high,1,Наволочка,Косметика/гигиена,2656,1422,0.0508,0.0272,110.4,25.83,Среда,Вечер (18-23),2024-01,66507.74,Понедельник,Ночь (00-05),2025-10,23371.2,Одеяло,Постельное белье,2915,1047,0.0557,0.02,3331.37,3235.4,70x70,down,0.0489,0.0527,0.0258,0.0286,0.0538,0.0577,0.0189,0.0213
pillow,all,all,3-5k,3-5k,670,low,1,Одеяло,Косметика/гигиена,23,22,0.0343,0.0328,84.03,24.85,,,,,,,,,Наволочка,Косметика/гигиена,37,22,0.0552,0.0328,1920.94,756.91,70x70,memory,0.023,0.051,0.0218,0.0492,0.0403,0.0752,0.0218,0.0492
pillow,all,all,3-5k,3-5k,747,medium,1,Детские товары,Косметика/гигиена,37,34,0.0495,0.0455,69.47,24.94,,,,,,,,,Наволочка,Детские товары,38,37,0.0509,0.0495,1747.91,1402.54,70x70,orthopedic,0.0361,0.0675,0.0328,0.0629,0.0373,0.0691,0.0361,0.0675
pillow,all,all,3-5k,3-5k,3807,high,1,Наволочка,Косметика/гигиена,253,117,0.0665,0.0307,178.03,29.5,,,2024-02,25058.1,,,,,Постельное белье,Одеяло,66,269,0.0173,0.0707,3509.64,3233.35,70x70,synthetic,0.059,0.0748,0.0257,0.0367,0.0137,0.022,0.0629,0.0792
pillow,all,all,3-5k,3-5k,30901,high,1,Наволочка,Косметика/гигиена,2223,1734,0.0719,0.0561,164.92,50.71,Пятница,Ночь (00-05),2024-01,39720.61,Суббота,Ночь (00-05),2025-08,51698.65,Другая мебель,Постельное белье,1038,1643,0.0336,0.0532,5295.86,3350.62,70x70,unknown,0.0691,0.0749,0.0536,0.0587,0.0316,0.0357,0.0507,0.0557
pillow,all,all,3-5k,3-5k,16260,high,1,Одеяло,Наволочка,367,330,0.0226,0.0203,78.79,47.52,,,2024-01,65789.63,,,2024-02,0,Другая мебель,Одеяло,193,367,0.0119,0.0226,5107.52,3490.77,unknown,anatomic,0.0204,0.025,0.0182,0.0226,0.0103,0.0137,0.0204,0.025
pillow,all,all,3-5k,3-5k,12149,high,1,Одеяло,Косметика/гигиена,606,281,0.0499,0.0231,229.3,22.64,Четверг,День (12-17),2024-11,51527.94,,,,,Одеяло,Постельное белье,606,159,0.0499,0.0131,4597.02,3635.35,unknown,down,0.0461,0.0539,0.0206,0.026,0.0461,0.0539,0.0112,0.0153
pillow,all,all,3-5k,3-5k,67401,high,1,Наволочка,Одеяло,1604,1355,0.0238,0.0201,45.19,59.02,Суббота,Вечер (18-23),2025-07,43833.55,Вторник,Вечер (18-23),2025-05,36021.95,Другая мебель,Одеяло,921,1355,0.0137,0.0201,3814.81,2935.95,unknown,memory,0.0227,0.025,0.0191,0.0212,0.0128,0.0146,0.0191,0.0212
pillow,all,all,3-5k,3-5k,107810,high,1,Детские товары,Наволочка,2571,2515,0.0238,0.0233,33.13,37.68,Суббота,Ночь (00-05),2025-08,78635.69,Воскресенье,Ночь (00-05),2025-10,40354.46,Другая мебель,Постельное белье,1826,1225,0.0169,0.0114,7805.89,3213.06,unknown,orthopedic,0.023,0.0248,0.0224,0.0242,0.0162,0.0177,0.0107,0.012
pillow,all,all,3-5k,3-5k,27598,high,1,Одеяло,Детские товары,1797,1443,0.0651,0.0523,314.77,72.88,Среда,День (12-17),2025-08,94727.66,Суббота,Ночь (00-05),2025-08,64954.21,Матрас,Другая мебель,1424,1094,0.0516,0.0396,24667.74,12686.32,unknown,unknown,0.0623,0.0681,0.0497,0.055,0.049,0.0543,0.0374,0.042
pillow,all,all,5-10k,5-10k,174,low,1,Хранение/органайзеры,Матрас,2,2,0.0115,0.0115,8.6,163.69,,,,,,,,,Другая мебель,Одеяло,2,2,0.0115,0.0115,8348.75,6450.0,40x60,anatomic,0.0032,0.0409,0.0032,0.0409,0.0032,0.0409,0.0032,0.0409
pillow,all,all,5-10k,5-10k,157,low,1,Косметика/гигиена,Наволочка,5,4,0.0318,0.0255,30.34,39.62,,,,,,,,,Постельное белье,Одежда для дома,2,1,0.0127,0.0064,3842.5,2416.0,40x60,down,0.0137,0.0724,0.01,0.0637,0.0035,0.0453,0.0011,0.0352
pillow,all,all,5-10k,5-10k,4985,high,1,Наволочка,Косметика/гигиена,210,131,0.0421,0.0263,113.25,37.85,,,,,,,,,Другая мебель,Одеяло,67,232,0.0134,0.0465,5691.63,3929.01,40x60,memory,0.0369,0.0481,0.0222,0.0311,0.0106,0.017,0.041,0.0527
pillow,all,all,5-10k,5-10k,636,medium,1,Наволочка,Простыня,38,32,0.0597,0.0503,150.51,79.57,,,,,,,,,Наволочка,Простыня,38,32,0.0597,0.0503,2519.0,1581.51,40x60,orthopedic,0.0438,0.0809,0.0359,0.0702,0.0438,0.0809,0.0359,0.0702
pillow,all,all,5-10k,5-10k,5913,high,1,Наволочка,Косметика/гигиена,495,313,0.0837,0.0529,366.96,80.11,Воскресенье,День (12-17),2024-11,24637.73,,,2025-08,31154.69,Постельное белье,Другая мебель,253,200,0.0428,0.0338,6197.82,5681.36,50x70,anatomic,0.0769,0.091,0.0475,0.0589,0.0379,0.0482,0.0295,0.0387
pillow,all,all,5-10k,5-10k,25519,high,1,Наволочка,Косметика/гигиена,1081,721,0.0424,0.0283,176.24,39.25,Четверг,Вечер (18-23),2024-07,46648.6,Понедельник,Утро (06-11),2025-07,19541.72,Другая мебель,Постельное белье,323,407,0.0127,0.0159,6004.09,5951.51,50x70,down,0.04,0.0449,0.0263,0.0304,0.0114,0.0141,0.0145,0.0176
pillow,all,all,5-10k,5-10k,1750,high,1,Наволочка,Простыня,127,55,0.0726,0.0314,245.01,74.53,,,,,,,,,Другая мебель,Постельное белье,49,30,0.028,0.0171,8178.86,8100.03,50x70,memory,0.0613,0.0857,0.0242,0.0407,0.0212,0.0368,0.012,0.0244
pillow,all,all,5-10k,5-10k,1763,medium,1,Косметика/гигиена,Одеяло,95,88,0.0539,0.0499,49.54,284.68,,,,,,,,,Одеяло,Постельное белье,88,39,0.0499,0.0221,5703.32,4825.09,50x70,orthopedic,0.0443,0.0654,0.0407,0.0611,0.0407,0.0611,0.0162,0.0301
pillow,all,all,5-10k,5-10k,1135,medium,1,Наволочка,Косметика/гигиена,75,34,0.0661,0.03,503.02,47.31,,,,,,,,,Наматрасник/топпер,Наволочка,33,75,0.0291,0.0661,7833.91,7612.32,50x70,synthetic,0.053,0.082,0.0215,0.0416,0.0208,0.0406,0.053,0.082
pillow,all,all,5-10k,5-10k,21400,high,1,Наволочка,Косметика/гигиена,1243,810,0.0581,0.0379,265.67,53.11,Суббота,Вечер (18-23),2025-06,59579.06,Среда,Вечер (18-23),2025-07,16718.77,Другая мебель,Одеяло,635,2363,0.0297,0.1104,17086.64,6861.97,50x70,unknown,0.055,0.0613,0.0354,0.0405,0.0275,0.032,0.1063,0.1147
pillow,all,all,5-10k,5-10k,2609,high,1,Наволочка,Косметика/гигиена,220,112,0.0843,0.0429,291.4,49.39,,,,,,,,,Другая мебель,Постельное белье,67,111,0.0257,0.0425,8430.26,4554.09,70x70,anatomic,0.0743,0.0956,0.0358,0.0514,0.0203,0.0325,0.0354,0.051
pillow,all,all,5-10k,5-10k,19810,high,1,Наволочка,Косметика/гигиена,921,507,0.0465,0.0256,153.12,29.41,Суббота,Вечер (18-23),2024-04,28873.12,,,2025-11,21245.88,Другая мебель,Постельное белье,267,341,0.0135,0.0172,5229.26,4822.77,70x70,down,0.0436,0.0495,0.0235,0.0279,0.012,0.0152,0.0155,0.0191
pillow,all,all,5-10k,5-10k,134,low,1,Одеяло,Простыня,6,6,0.0448,0.0448,244.53,87.1,,,,,,,,,Одеяло,Сумки/багаж,6,3,0.0448,0.0224,5461.2,5237.14,70x70,orthopedic,0.0207,0.0942,0.0207,0.0942,0.0207,0.0942,0.0076,0.0638
pillow,all,all,5-10k,5-10k,811,medium,1,Наволочка,Косметика/гигиена,74,25,0.0912,0.0308,373.09,66.4,,,,,,,,,Наволочка,Наматрасник/топпер,74,22,0.0912,0.0271,4088.91,3421.52,70x70,synthetic,0.0733,0.113,0.021,0.0451,0.0733,0.113,0.018,0.0407
pillow,all,all,5-10k,5-10k,8146,high,1,Наволочка,Косметика/гигиена,516,340,0.0633,0.0417,218.3,54.25,,,2024-09,70118.88,,,2025-07,17330.54,Другая мебель,Постельное белье,216,333,0.0265,0.0409,9951.57,5340.92,70x70,unknown,0.0583,0.0688,0.0376,0.0463,0.0232,0.0302,0.0368,0.0454
pillow,all,all,5-10k,5-10k,13714,high,1,Косметика/гигиена,Наволочка,298,297,0.0217,0.0217,24.38,62.05,,,2024-01,4741.9,,,2024-02,0,Наволочка,Детские товары,297,204,0.0217,0.0149,2865.16,2115.16,unknown,anatomic,0.0194,0.0243,0.0194,0.0242,0.0194,0.0242,0.013,0.017
pillow,all,all,5-10k,5-10k,6118,high,1,Наволочка,Косметика/гигиена,283,144,0.0463,0.0235,135.01,31.7,,,,,,,,,Другая мебель,Одеяло,71,447,0.0116,0.0731,14953.88,9235.5,unknown,down,0.0413,0.0518,0.02,0.0276,0.0092,0.0146,0.0668,0.0799
pillow,all,all,5-10k,5-10k,22138,high,1,Наволочка,Одеяло,490,430,0.0221,0.0194,59.78,88.27,Суббота,День (12-17),2024-01,22467.6,,,2024-11,45649.64,Другая мебель,Одеяло,261,430,0.0118,0.0194,5106.78,4544.65,unknown,memory,0.0203,0.0242,0.0177,0.0213,0.0105,0.0133,0.0177,0.0213
pillow,all,all,5-10k,5-10k,43262,high,1,Матрас,Наматрасник/топпер,1819,1368,0.042,0.0316,1253.69,198.4,Воскресенье,День (12-17),2025-03,851177,Воскресенье,День (12-17),2025-01,151002.98,Кровать/каркас,Матрас,640,1819,0.0148,0.042,31726.09,29816.98,unknown,orthopedic,0.0402,0.044,0.03,0.0333,0.0137,0.016,0.0402,0.044
pillow,all,all,5-10k,5-10k,151,low,1,Наволочка,Покрывало,10,3,0.0662,0.0199,284.9,281.57,,,,,,,,,Матрас,Постельное белье,2,2,0.0132,0.0132,31581.78,24060.5,unknown,synthetic,0.0364,0.1176,0.0068,0.0568,0.0036,0.047,0.0036,0.047
pillow,all,all,5-10k,5-10k,17362,high,1,Одеяло,Наволочка,1589,845,0.0915,0.0487,830.84,134.7,Пятница,День (12-17),2024-09,223855.23,Понедельник,Вечер (18-23),2025-10,29576.83,Кровать/каркас,Другая мебель,610,554,0.0351,0.0319,38369.24,28184.82,unknown,unknown,0.0873,0.0959,0.0456,0.052,0.0325,0.038,0.0294,0.0346
pillow,all,all,10-20k,10-20k,198,low,1,Наволочка,Матрас,10,6,0.0505,0.0303,99.34,470.81,,,,,,,,,Кровать/каркас,Постельное белье,2,2,0.0101,0.0101,15021.27,7269.0,40x60,memory,0.0277,0.0905,0.014,0.0645,0.0028,0.0361,0.0028,0.0361
pillow,all,all,10-20k,10-20k,708,medium,1,Наволочка,Косметика/гигиена,56,39,0.0791,0.0551,694.19,102.58,,,,,,,,,Постельное белье,Наволочка,30,56,0.0424,0.0791,10102.29,8776.55,50x70,anatomic,0.0614,0.1013,0.0406,0.0744,0.0298,0.0598,0.0614,0.1013
pillow,all,all,10-20k,10-20k,5620,high,1,Наволочка,Косметика/гигиена,247,132,0.044,0.0235,309.82,43.15,,,,,,,,,Постельное белье,Другая мебель,72,66,0.0128,0.0117,10778.73,8035.06,50x70,down,0.0389,0.0496,0.0198,0.0278,0.0102,0.0161,0.0092,0.0149
pillow,all,all,10-20k,10-20k,222,low,1,Наволочка,Детские товары,12,11,0.0541,0.0495,366.9,123.65,,,,,,,,,Одеяло,Кухонный текстиль,10,4,0.045,0.018,12232.23,9039.0,50x70,orthopedic,0.0312,0.0921,0.0279,0.0865,0.0246,0.0809,0.007,0.0454
pillow,all,all,10-20k,10-20k,3656,high,1,Наволочка,Постельное белье,201,136,0.055,0.0372,393.45,504.06,,,,,,,,,Кровать/каркас,Другая мебель,44,95,0.012,0.026,42229.24,30890.29,50x70,unknown,0.048,0.0628,0.0315,0.0438,0.009,0.0161,0.0213,0.0317
pillow,all,all,10-20k,10-20k,3689,high,1,Наволочка,Косметика/гигиена,156,85,0.0423,0.023,223.55,35.71,,,,,,,,,Постельное белье,Другая мебель,48,45,0.013,0.0122,9541.06,5750.11,70x70,down,0.0363,0.0493,0.0187,0.0284,0.0098,0.0172,0.0091,0.0163
pillow,all,all,10-20k,10-20k,1134,medium,1,Наволочка,Постельное белье,85,40,0.075,0.0353,677.87,502.25,,,,,,,,,Одеяло,Наволочка,141,85,0.1243,0.075,11873.74,9043.61,70x70,unknown,0.061,0.0918,0.026,0.0477,0.1064,0.1448,0.061,0.0918
pillow,all,all,10-20k,10-20k,3565,high,1,Одеяло,Косметика/гигиена,127,76,0.0356,0.0213,474.86,41.52,,,,,,,,,Одеяло,Наволочка,127,385,0.0356,0.108,13329.67,4669.74,unknown,anatomic,0.03,0.0422,0.0171,0.0266,0.03,0.0422,0.0982,0.1186
pillow,all,all,10-20k,10-20k,1889,high,1,Наволочка,Матрас,114,72,0.0603,0.0381,271.64,2033.73,,,,,,,,,Одеяло,Постельное белье,204,44,0.108,0.0233,17042.3,11021.2,unknown,down,0.0505,0.072,0.0304,0.0477,0.0948,0.1228,0.0174,0.0311
pillow,all,all,10-20k,10-20k,2213,medium,1,Косметика/гигиена,Детские товары,50,44,0.0226,0.0199,34.38,65.96,,,,,,,,,Наволочка,Детские товары,33,44,0.0149,0.0199,3848.81,3317.51,unknown,memory,0.0172,0.0297,0.0148,0.0266,0.0106,0.0209,0.0148,0.0266
pillow,all,all,10-20k,10-20k,15074,high,1,Другая мебель,Матрас,512,474,0.034,0.0314,1246.88,1308.09,Суббота,День (12-17),2025-05,310439.24,Суббота,День (12-17),2025-02,587395.76,Матрас,Другая мебель,474,512,0.0314,0.034,41599.32,36709.97,unknown,orthopedic,0.0312,0.037,0.0288,0.0344,0.0288,0.0344,0.0312,0.037
